from,to,weight
14854,20304,4
14854,20307,7
14854,20316,7
14854,20325,6
14854,20337,7
14854,20342,7
14854,20344,7
14854,20346,4
14854,20351,7
14854,20352,7
14854,20355,7
14854,20356,7
14854,20357,7
14854,20501,1
14854,20505,2
14854,20508,4
14854,20518,7
14854,20521,7
14854,20522,7
14854,20526,7
14854,20527,7
14854,20528,7
14854,20530,7
14854,20531,7
14854,20532,7
14854,20533,2
14854,20535,7
14854,20536,6.5
14854,20703,7
14854,20704,7
14854,20709,7
14854,20715,7
14854,20725,7
14854,20726,1
14854,20729,7
14854,20738,7
14854,20755,7
14854,20756,7
14854,20758,7
14854,20759,5.5
14854,20903,7
14854,20906,6
14854,20909,7
14854,20910,7
14854,20915,7
14854,20916,7
14854,20924,7
14854,20925,7
14854,20926,7
14854,20929,7
14854,20941,0.5
14854,20944,0.5
14854,20946,6
14854,20947,7
14854,20948,7
14854,20949,4
14854,20962,7
14854,20963,7
14854,21101,7
14854,21103,6.5
14854,21105,7
14854,21106,7
14854,21108,7
14854,21109,7
14854,21110,0.5
14854,21111,7
14854,21116,7
14854,21117,7
14854,21122,7
14854,21123,7
14854,21125,7
14854,21128,7
14854,21129,7
14854,21131,7
14854,21132,7
14854,21135,7
14854,21139,7
14854,21142,7
14854,21143,7
14854,21148,7
14854,21149,7
14854,21150,7
14854,21162,7
14854,21163,7
14854,21164,7
14854,21165,7
14854,21167,6
14854,21168,6
14854,21170,7
14854,21171,6
14854,21174,7
14854,21175,7
14854,21176,2
14854,21177,6
14854,21178,7
14854,21179,7
14854,21180,7
14854,21182,7
14854,21184,7
14854,21187,7
14854,21188,7
14854,21189,7
14854,21191,7
14854,21192,7
14854,21193,7
14854,21196,7
14854,21198,0.5
14854,21302,7
14854,21303,0.5
14854,21305,7
14854,21307,7
14854,21317,7
14854,21318,7
14854,21323,7
14854,21324,1
14854,21328,7
14854,21330,7
14854,21331,7
14854,21332,7
14854,21333,7
14854,21337,7
14854,21345,7
14854,21346,7
14854,21347,7
14854,21348,7
14854,21349,7
14854,21350,7
14854,21351,7
14854,21353,6.5
14854,21354,7
14854,21355,7
14854,21356,7
14854,21357,6
14854,21358,1
14854,21359,7
14854,21360,7
14854,21364,7
14854,21365,0.5
14854,21367,7
14854,21373,7
14854,21376,7
14854,21500,7
14854,21501,7
14854,21503,7
14854,21505,7
14854,21507,0.5
14854,21509,7
14854,21510,7
14854,21512,7
14854,21513,7
14854,21514,7
14854,21515,7
14854,21516,7
14854,21519,7
14854,21520,7
14854,21521,7
14854,21522,7
14854,21523,7
14854,21524,7
14854,21526,7
14854,21527,7
14854,21528,7
14854,21531,7
14854,21532,2
14854,21537,7
14854,21539,7
14854,21541,7
14854,21542,7
14854,21543,7
14854,21544,7
14854,21546,7
14854,21547,7
14854,21549,7
14854,21550,7
14854,21551,7
14854,21552,7
14854,21553,7
14854,21554,0.5
14854,21555,7
14854,21556,7
14854,21557,7
14854,21558,7
14854,21559,7
14854,21560,7
14854,21561,7
14854,21562,7
14854,21563,7
14854,21564,7
14854,21565,7
14854,21700,7
14854,21701,7
14854,21702,7
14854,21704,7
14854,21705,7
14854,21708,7
14854,21710,7
14854,21714,7
14854,21716,7
14854,21717,7
14854,21718,7
14854,21719,7
14854,21720,7
14854,21721,7
14854,21724,7
14854,21725,7
14854,21727,7
14854,21731,7
14854,21733,7
14854,21734,7
14854,21735,7
14854,21737,7
14854,21742,7
14854,21744,7
14854,21745,7
14854,21748,7
14854,21749,7
14854,21750,3
14854,21751,3
14854,21752,3
14854,21753,2.5
14854,21755,3
14854,29127,4
14854,29143,7
14854,29321,7
14854,29323,7
14854,29346,2
14854,29375,7
14854,29378,0.5
14854,29393,7
14854,29539,7
