from,to
235217558,21269970
235217558,75364211
235217558,78403308
235217558,76649729
235217558,193794406
235217558,202206694
235217558,88784440
235217558,2863210809
235217558,11651202
235217558,2964174789
235217558,2856787757
235217558,2962923040
235217558,515822213
235217558,216881337
235217558,278145569
235217558,224285242
224285242,1080844782
224285242,22044727
224285242,941080085121175552
224285242,941000686275387392
224285242,15324851
224285242,18137749
224285242,21406834
224285242,60828944
224285242,109071031
224285242,109287731
224285242,117501995
224285242,171598736
224285242,234374703
224285242,249787913
224285242,278124059
224285242,293131808
224285242,486694111
224285242,515822213
224285242,1058520120
224285242,2167097881
224285242,803694179079458816
224285242,946549322
224285242,2962923040
224285242,236511574
224285242,29442313
224285242,1262099252
224285242,1068481578
224285242,92186819
224285242,1099199839
224285242,19726613
224285242,18915145
224285242,5558312
224285242,264219447
224285242,18061669
224285242,78403308
224285242,233737858
224285242,2955485182
224285242,2856787757
224285242,2891210047
224285242,234128524
224285242,291756142
224285242,242836537
224285242,968650362
224285242,11651202
224285242,2863210809
224285242,202206694
224285242,1071402577
224285242,225921757
224285242,193794406
224285242,29201047
224285242,811313565760163844
224285242,476256944
224285242,76456274
224285242,43910797
224285242,1074518754
224285242,242555999
224285242,250188760
224285242,382791093
224285242,1096059529
224285242,1074480192
224285242,600463589
224285242,216881337
224285242,18632666
224285242,21269970
224285242,75364211
224285242,221162525
224285242,296361085
224285242,235217558
224285242,7429102
224285242,17494010
224285242,247334603
224285242,14845376
224285242,970207298
224285242,18695134
224285242,21157904
278124059,1080844782
278124059,818554054309715969
278124059,22044727
278124059,2167097881
278124059,941080085121175552
278124059,941000686275387392
278124059,18137749
278124059,1068481578
278124059,19726613
278124059,224285242
278124059,515822213
278124059,946549322
278124059,803694179079458816
278124059,811313565760163844
278124059,1262099252
278124059,1099199839
278124059,1058520120
278124059,117501995
278124059,2955485182
278124059,236511574
278124059,382791093
278124059,21406834
278124059,234374703
278124059,249787913
278124059,250188760
278124059,217543151
278124059,216881337
278124059,18061669
278124059,600463589
278124059,76456274
278124059,92186819
278124059,970207298
278124059,1074518754
278124059,18632666
278124059,18695134
278124059,14845376
278124059,476256944
278124059,21111098
278124059,13218102
278124059,18915145
278124059,486694111
278124059,60828944
278124059,293131808
278124059,15324851
278124059,171598736
278124059,242836537
278124059,109071031
278124059,109287731
278124059,29442313
278124059,29201047
278124059,242555999
278124059,247334603
278124059,17494010
278124059,43910797
278124059,7429102
249787913,235217558
249787913,88784440
249787913,21111098
249787913,382791093
249787913,13218102
249787913,10615232
249787913,1080870981877534720
249787913,1080844782
249787913,818554054309715969
249787913,1048784496
249787913,816683274076614656
249787913,1078693601356509184
249787913,941080085121175552
249787913,941000686275387392
249787913,803694179079458816
249787913,2167097881
249787913,2856787757
249787913,2891210047
249787913,2863210809
249787913,78403308
249787913,18137749
249787913,1058520120
249787913,946549322
249787913,811313565760163844
249787913,2955485182
249787913,2964174789
249787913,291756142
249787913,600463589
249787913,5558312
249787913,193794406
249787913,76649729
249787913,18061669
249787913,18915145
249787913,1071402577
249787913,217543151
249787913,296361085
249787913,202206694
249787913,21269970
249787913,18632666
249787913,264219447
249787913,21157904
249787913,1262099252
249787913,1099199839
249787913,1074518754
249787913,1068481578
249787913,515822213
249787913,92186819
249787913,21406834
249787913,236511574
249787913,225921757
249787913,970207298
249787913,233737858
249787913,486694111
249787913,75364211
249787913,293131808
249787913,476256944
249787913,117501995
249787913,29442313
249787913,278124059
249787913,221162525
249787913,109287731
249787913,242836537
249787913,247334603
249787913,43910797
249787913,234374703
249787913,29201047
249787913,76456274
249787913,171598736
249787913,18695134
249787913,250188760
249787913,109071031
249787913,19726613
249787913,242555999
249787913,7429102
249787913,224285242
249787913,60828944
249787913,17494010
249787913,15324851
15324851,234128524
15324851,22044727
15324851,1080870981877534720
15324851,1080844782
15324851,818554054309715969
15324851,1078693601356509184
15324851,803694179079458816
15324851,941080085121175552
15324851,941000686275387392
15324851,225921757
15324851,816683274076614656
15324851,2955485182
15324851,515822213
15324851,2167097881
15324851,1058520120
15324851,946549322
15324851,236511574
15324851,88784440
15324851,811313565760163844
15324851,18137749
15324851,970207298
15324851,339822881
15324851,1096059529
15324851,221162525
15324851,75364211
15324851,18915145
